timestamp,high,high_forecast
2021-01-20,36415.31,
2021-01-21,35600.0,
2021-01-22,33826.53,
2021-01-23,33456.0,
2021-01-24,33071.0,
2021-01-25,34875.0,
2021-01-26,32921.88,
2021-01-27,32557.29,
2021-01-28,33783.98,
2021-01-29,38531.9,
2021-01-30,34933.0,
2021-01-31,34342.69,
2021-02-01,34717.27,
2021-02-02,35984.33,
2021-02-03,37662.63,
2021-02-04,38708.27,
2021-02-05,38310.12,
2021-02-06,40955.51,
2021-02-07,39700.0,
2021-02-08,46794.45,
2021-02-09,48142.19,
2021-02-10,47310.0,
2021-02-11,48678.9,
2021-02-12,48985.8,
2021-02-13,48150.0,
2021-02-14,49707.43,
2021-02-15,49010.92,
2021-02-16,50689.18,
2021-02-17,52618.74,
2021-02-18,52530.0,
2021-02-19,56368.0,
2021-02-20,57700.46,
2021-02-21,58352.8,
2021-02-22,57508.47,
2021-02-23,54183.59,
2021-02-24,51374.99,
2021-02-25,52041.73,
2021-02-26,48424.11,
2021-02-27,48394.0,
2021-02-28,46638.46,
2021-03-01,49790.0,
2021-03-02,50200.0,
2021-03-03,52640.0,
2021-03-04,51773.88,
2021-03-05,49448.93,
2021-03-06,49200.0,
2021-03-07,51450.03,
2021-03-08,52402.78,
2021-03-09,54895.0,
2021-03-10,57387.69,
2021-03-11,58150.0,
2021-03-12,58081.51,
2021-03-13,61844.0,
2021-03-14,61724.79,
2021-03-15,60633.43,
2021-03-16,56938.29,
2021-03-17,58974.73,
2021-03-18,60129.97,
2021-03-19,59468.0,
2021-03-20,59880.0,
2021-03-21,58589.1,
2021-03-22,58430.73,
2021-03-23,55830.9,
2021-03-24,57200.0,
2021-03-25,53287.0,
2021-03-26,55073.46,
2021-03-27,56700.36,
2021-03-28,56559.75,
2021-03-29,58405.82,
2021-03-30,59368.0,
2021-03-31,59800.0,
2021-04-01,59490.0,
2021-04-02,60200.0,
2021-04-03,59791.72,
2021-04-04,58492.85,
2021-04-05,59272.0,
2021-04-06,59495.24,
2021-04-07,58655.0,
2021-04-08,58153.31,
2021-04-09,58894.9,
2021-04-10,61500.0,
2021-04-11,60699.0,
2021-04-12,61300.0,
2021-04-13,63777.77,
2021-04-14,64854.0,
2021-04-15,63800.0,
2021-04-16,63520.61,
2021-04-17,62506.05,
2021-04-18,60499.0,
2021-04-19,57526.81,
2021-04-20,57076.24,
2021-04-21,56757.91,
